name,isPartyConstant,partyCount,partyChanger,num,isFemale,isIndependent,isAkjol,isSDPK,isCommunist,isAtameken,isAtajurt,isRepublic,isArnamys,isAlga,isAdilet,isOther,isDvijAtajurt,isBirbol,isKyrgyzstan,isOnuguu,isRepAtajurt,allParties,sozyv,party,sozyvMisser,idname
Абдиев Курмантай,0,1,0,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,",,,,Ata-Jurt,",5,Ata-Jurt,,0
Абдимомунов Алишер,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,,,",2,Independent,,1
Абдраимов Туйгунаалы Дуйшеналиевич,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,2
Абдрисаев Бактыбек Дюшенович,0,1,0,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,3
Абдуллаев Абдурахман Абдусаттарович,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Alga Kyrgyzstan,,,",3,Alga Kyrgyzstan,,4
Абдуллаев Абдусатар,0,1,0,73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,5
Абдуллаева Чолпон Галийаскеровна,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,,",4,Ak Jol,,6
Абдурасулов Ином Эргашевич,0,1,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,Independent,,,",3,Independent,,7
Абдурасулова Тажиниса,0,1,0,75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,,,",2,Independent,,8
Абдыкеримов Шаршенбек Шайлообекович,0,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,",,,,,Kyrgyzstan",6,Kyrgyzstan,,9
Абдылдаев Бакытбек Табылдиевич,0,1,0,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,10
Абдылдаев Мыктыбек Юсупович,0,2,1,43,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,",,,,Ata-Jurt,Bir Bol",5,Ata-Jurt,1.0,11
Абдылдаев Мыктыбек Юсупович,0,2,1,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,",,,,Ata-Jurt,Bir Bol",6,Bir Bol,1.0,11
Абдылдаев Нурдин Туратбекович,0,1,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Alga Kyrgyzstan,,,",3,Alga Kyrgyzstan,,12
Абдылдаев Таалайбек Адылбаевич,0,1,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,,,",2,Independent,,13
Абдыраимова Роза Асановна,0,1,0,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,,",4,Ak Jol,,14
Абдырасаков Бейшенбек Токтобаевич,0,1,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,,",4,Ak Jol,,15
Абдырахманов Омурбек,0,1,0,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,",,,,Ata Meken,",5,Ata Meken,,16
Абжалиев Алиярбек Токобекович,0,2,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,",,Independent,,,Republic - Ata Jurt",3,Independent,3.0,17
Абжалиев Алиярбек Токобекович,0,2,0,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,",,Independent,,,Republic - Ata Jurt",6,Republic - Ata Jurt,3.0,17
Абсатаров Абдыкайым Полотович,0,1,0,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,18
Авдеев Валерий Михайлович,0,1,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,19
Адамбеков Доктурбек Адамбекович,0,1,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,20
Азыранкулов Айбек Джаныбекович,0,1,0,97,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,SDPK,,",4,SDPK,,21
Айбалаев Мамат Марипович,0,1,0,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,22
Айдаров Нургазы Абдыраевич,0,3,1,15,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,",Independent,,Ak Jol,Ata-Jurt,",2,Independent,2.0,23
Айдаров Нургазы Абдыраевич,0,3,1,39,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,",Independent,,Ak Jol,Ata-Jurt,",4,Ak Jol,2.0,23
Айдаров Нургазы Абдыраевич,0,3,1,67,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,",Independent,,Ak Jol,Ata-Jurt,",5,Ata-Jurt,2.0,23
Айдаров Салайдин Абдираевич,0,1,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,",,,,,Kyrgyzstan",6,Kyrgyzstan,,24
Айнакулов Мухтарбек Айнакулович,0,1,0,114,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,,,SDPK",6,SDPK,,25
Айтматов Куштарбек Суюнбаевич,0,1,0,84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,",,,,Republic,",5,Republic,,26
Айтматов Чынгыз Торокулович,0,1,0,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,27
Айтматова Ширин,0,1,0,27,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,",,,,Ata Meken,",5,Ata Meken,,28
Акаев Айдар Аскарович,0,1,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,Independent,,,",3,Independent,,29
Акаев Асанкул,0,1,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,,,",2,Independent,,30
Акаев Жанарбек Кубанычович,0,1,0,122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,,,SDPK",6,SDPK,,31
Акималиев Джамин,0,1,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,32
Акказиев Булат Акунович,0,1,0,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,33
Акматбаев Таберик Коноевич,0,1,0,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,34
Акматбеков Зарылбек,0,1,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,35
Акматов Алмазбек Жумабекович,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,",,,,,Bir Bol",6,Bir Bol,,36
Акназарова Роза Корчубековна,0,2,0,65,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,",Independent,,,Republic,",2,Independent,3.0,37
Акназарова Роза Корчубековна,0,2,0,85,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,",Independent,,,Republic,",5,Republic,3.0,37
Акрамов Эрнаст Хашимович,0,1,0,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,,",4,Ak Jol,,38
